725305	Zimovina	Zimovina	Kodzha Kushla,Kodzha Kŭshla,Simowiza,Zimovina,Зимовина	41.7	25.66667	P	PPL	BG	BG	43	HKV30	HKV30-18		0		450	Europe/Sofia	2011-05-08
725306	Zimornitsa	Zimornitsa	Sarsaklar,Simorniza,Zimornica,Zimornitsa,Зиморница	41.35	25.48333	P	PPL	BG	BG	44	KRZ15	KRZ15-10		0		555	Europe/Sofia	2011-05-08
725307	Zimnitsa	Zimnitsa	Kara Kushla,Kara Kŭshla,Karakaschla,Karakăschla,Stana Cadanei,Zimnica,Zimnitsa,Зимница	43.86667	27.61667	P	PPL	BG	BG	40	DOB20	DOB20-06		0		172	Europe/Sofia	2011-05-08
725308	Zimnitsa	Zimnitsa	Kisla-Koi,Kišla-Köi,Kshla-Koi,Kushla-K'oy,Kushlakioi,Kŭshla-K’oy,Kŭshlakioi,Simen,Simniza,Zimnica,Zimnitsa,Зимница	42.58333	26.6	P	PPL	BG	BG	65	JAM22	JAM22-07		0		137	Europe/Sofia	2011-05-08
725309	Zimnitsa	Zimnitsa	Kushlata,Kŭshlata,Simniza,Zimnica,Zimnitsa,Зимница	42.58333	25.68333	P	PPL	BG	BG	59	SZR22	SZR22-08		0		288	Europe/Sofia	2011-05-08
725310	Zimnitsa	Zimnitsa	Zimnica,Zimnitsa,Зимница	41.68333	25.08333	P	PPL	BG		44				0		646	Europe/Sofia	2011-05-08
725311	Zimnishte	Zimnishte	Zimnishhe,Zimnishte,Зимнище	41.51667	25.11667	P	PPL	BG		44				0		1027	Europe/Sofia	2011-05-08
725312	Zimitsa	Zimitsa	Kushla Dere,Kŭshla Dere,Simiza,Zimica,Zimitsa,Зимица	41.35	25.2	L	LCTY	BG	BG	44				0		648	Europe/Sofia	2011-05-08
725313	Zimevitsa	Zimevitsa	Simewiza,Zimevica,Zimevitsa,Зимевица	43.045	23.29333	P	PPL	BG	BG	58	SFO43	SFO43-18		0		1048	Europe/Sofia	2011-05-08
725314	Zimen	Zimen	Kashla-K'oy,Kushla K'oy,Kăshla-K’oy,Kŭshla K’oy,Simen,Skenderli,Zimen,Зимен	42.73333	27.03333	P	PPL	BG	BG	39	BGS09	BGS09-13		0		204	Europe/Sofia	2011-05-08
725315	Zidartsi	Zidartsi	Sidarzi,Zidarci,Zidartsi,Зидарци	42.64944	22.95444	P	PPL	BG	BG	49	PER32			0		652	Europe/Sofia	2011-05-08
725316	Zidarovo	Zidarovo	Diulgerli,Djulgerlii,Dulgeri,Dyulgere,Dyulgerli,Dyulgerlii,Dyulgerliy,Zidarovo,Зидарово	42.33078	27.40244	P	PPL	BG		39	BGS21	BGS21-05		0		74	Europe/Sofia	2011-05-08
725317	Zidari	Zidari	Dyulger Makhle,Dyuluger Makhlesi,Dyulŭger Makhlesi,Zidari,Зидари	43.05	26.08333	L	LCTY	BG	BG	62				0		397	Europe/Sofia	2011-05-08
